Site,Platform,BAND,ls8mean,ls8std,brdfmean,brdfstd,us8mean,us8std,bandsmean,bandsstd
DOO,LS8,CA,0.04200816326530612,0.001179560058889802,0.04732166304799469,0.008211299243426423,0.04377551020408163,0.0010430588087290693,0.04409862072389702,0.0075483419626284085
DOO,LS8,blue,0.04463673469387755,0.0013832369427602572,0.05718957786668408,0.009419909166573561,0.05321632653061224,0.00099331375703167,0.05329577042997057,0.008655718395244578
DOO,LS8,green,0.08043877551020408,0.002107694003129681,0.0943476618752772,0.011103696831226235,0.08137551020408164,0.0009518040040579649,0.08735194141355757,0.010083211073809968
DOO,LS8,red,0.1248530612244898,0.003763904943648682,0.1382076376566611,0.013854419810507406,0.11948979591836735,0.001141828983577857,0.12745800969879126,0.012509726162185668
DOO,LS8,nir,0.18128775510204082,0.004986456459416611,0.18798411574607116,0.01649676315661831,0.17908367346938775,0.0013336074964554784,0.18292442682932922,0.01600223243274648
DOO,LS8,swir1,0.2716918367346939,0.009532882655757727,0.2995319103755739,0.02985573056697536,0.2611673469387755,0.004155664329862391,0.2895168211310481,0.0286541433596661
DOO,LS8,swir2,0.24259591836734695,0.007521993851602126,0.27800396155888957,0.027867791722277654,0.22413673469387754,0.001670719492760593,0.26250382407677164,0.02597691310798513
DOO,LS8,CA,0.0810326530612245,0.0010017103241511676,0.06644752260121457,0.011250889618010372,0.07637755102040816,0.0009372703106105621,0.06785139707088364,0.011451585432468776
DOO,LS8,blue,0.08804897959183673,0.0011089841737115507,0.08211279798995325,0.013268652305363901,0.0925734693877551,0.001142102520542809,0.08384785727317463,0.013504302387764774
DOO,LS8,green,0.1349938775510204,0.0016322525018832735,0.12683700304057435,0.017101317095478904,0.13814897959183672,0.001461914100184481,0.13007189812767425,0.017439284124415703
DOO,LS8,red,0.19772857142857142,0.002821925815134489,0.18102803172545814,0.024457345255834192,0.19875714285714285,0.0017556904566556817,0.1864087911883215,0.025010297122802616
DOO,LS8,nir,0.288330612244898,0.0035044114520353035,0.2648327439498133,0.03163358649159731,0.29144285714285717,0.0020876703156721787,0.271865660674298,0.03229250023248784
DOO,LS8,swir1,0.38957142857142857,0.00448548680041918,0.38027589501821046,0.03378108380476029,0.39301428571428576,0.0012488361929151052,0.3899454446386874,0.03463450359684424
DOO,LS8,swir2,0.3152265306122449,0.003565525150100847,0.3131511482270015,0.046743310949512076,0.3095673469387755,0.0014158559472301397,0.3218310942817979,0.04790367884120952
LGR,LS8,CA,0.07885102040816326,0.0011326548997962647,0.07502492652369168,0.008251772034397281,0.06490816326530612,0.001538994733477334,0.07205772317803254,0.007931084160807456
LGR,LS8,blue,0.08692653061224491,0.0016032843217626215,0.09383081289303596,0.010842453469493576,0.08311428571428571,0.0018213025166464952,0.09012031621849215,0.010425703806034956
LGR,LS8,green,0.1355795918367347,0.0024760056371170487,0.14650185172293076,0.016498408253727108,0.12683877551020406,0.0029193804435349168,0.1389362871402196,0.01571118587283577
LGR,LS8,red,0.18169183673469388,0.003277619639915023,0.1926477969711422,0.021487589978616373,0.16860816326530612,0.0039441942212544625,0.18360616578901762,0.020585555156904002
LGR,LS8,nir,0.2517632653061225,0.005955916073665867,0.2644108806737766,0.028695833525357616,0.23839183673469388,0.0066716224118273885,0.25640100391917453,0.027929446017293486
LGR,LS8,swir1,0.3203244897959184,0.0048828952022358955,0.3415932680507624,0.0345445634981089,0.30244489795918367,0.00552430847919096,0.33124504862020976,0.03359691618593055
LGR,LS8,swir2,0.25701428571428575,0.003421838627381008,0.2820837090118532,0.031147632593445,0.23380408163265307,0.0038313401067699895,0.2705238570114492,0.03002058375734312
LKG,LS8,CA,0.0711875,0.004121592207075873,0.07415394089014662,0.005092806805710963,0.04341785714285715,0.0039011036507477664,0.07036057630968641,0.004755739359795942
LKG,LS8,blue,0.0748607142857143,0.004637490029693886,0.08290980654664351,0.005961130037956877,0.06119642857142857,0.004762276027193686,0.07866746749138252,0.0055589939773560805
LKG,LS8,green,0.09411785714285714,0.006291465510141983,0.09768314312371874,0.007288582328286216,0.08291964285714286,0.006359874764121234,0.09258090917279821,0.006757160389559778
LKG,LS8,red,0.11025535714285713,0.007251007802930795,0.11073808657262145,0.008635224952089817,0.0978,0.007477657196131496,0.10527800697022799,0.008045007089023882
LKG,LS8,nir,0.1549660714285714,0.010934288741413969,0.1576476955876428,0.01643320354043771,0.1495607142857143,0.01172277512505691,0.1526466758359103,0.0157104825096426
LKG,LS8,swir1,0.23252678571428573,0.012672319258235767,0.24085680873524004,0.018020386749066124,0.21991071428571426,0.01269256923461559,0.23364993028257364,0.017327920408434325
LKG,LS8,swir2,0.1932535714285714,0.011781855970178928,0.2032139312089157,0.017933637944093122,0.1745875,0.011502159152896966,0.1943669954393223,0.016976666105417575
LKG,LS8,CA,0.0704375,0.002395014352775365,0.058443569138182445,0.0058228896239668135,0.031925,0.0012054563451241193,0.06358680883549493,0.006383439143546594
LKG,LS8,blue,0.0699,0.0024289915602982238,0.06365250351776781,0.00630146409716278,0.0497125,0.0013061752370949313,0.0692541051848787,0.006908432277927476
LKG,LS8,green,0.07831875,0.0025969257666517928,0.07190051940586863,0.007052748695489916,0.07,0.0024957463813456687,0.07795645158785902,0.00770256635194927
LKG,LS8,red,0.0866625,0.0027588210797367774,0.0777869996919027,0.007491206962753479,0.080225,0.0028558054905752947,0.08435417319063468,0.008178851297679765
LKG,LS8,nir,0.11644375,0.0026355665306533244,0.10324664220472157,0.008901336004270054,0.113025,0.0028474769533746885,0.10891097701173474,0.009438543443286944
LKG,LS8,swir1,0.16990625,0.0014302398181773573,0.16105042120402097,0.010920956019901047,0.1748125,0.0014890747966438758,0.17088868997929074,0.011637139797900556
LKG,LS8,swir2,0.13300625,0.001533977163291553,0.12734012383555793,0.009528464790580659,0.1365125,0.0019441820259430444,0.13809110479442663,0.010387643717762355
LKG,LS8,CA,0.09726,0.007708592608252171,0.090440970437073,0.006452917648563957,0.06769,0.006206467057298647,0.10245794360964328,0.007206738448934137
LKG,LS8,blue,0.10141666666666667,0.00899314862671702,0.1007650695715002,0.0072781776545195916,0.09061,0.008536523492226406,0.11415345456948192,0.008126007273218813
LKG,LS8,green,0.11968666666666665,0.011404523469025596,0.11715084273576877,0.008683039671424364,0.11870666666666665,0.011440743954053959,0.1327519604301934,0.009691936224887215
LKG,LS8,red,0.1389,0.013735938264275941,0.13172928343128526,0.009955459408907349,0.14074,0.014013032029745263,0.14985242119881598,0.011149113748933437
LKG,LS8,nir,0.19664,0.018818742430530968,0.18317868141943916,0.013493585951225698,0.20051,0.018825449972488487,0.20064486215896912,0.014596784477060644
LKG,LS8,swir1,0.29561,0.02559411846499113,0.2879234589318967,0.01865823744551864,0.3105466666666667,0.02503194936254244,0.3180920973073558,0.0202990557617878
LKG,LS8,swir2,0.25471,0.02434208084778292,0.2511942573793402,0.018102963035108017,0.26689666666666667,0.023745841507280572,0.286305822311143,0.02026387082841102
LLF,LS8,CA,0.3232375,0.033672050525727464,0.3455101747878121,0.0200808317723695,0.3006196428571428,0.032285801941647756,0.32524053012391685,0.01880000089560209
LLF,LS8,blue,0.32603035714285716,0.03451634664310137,0.3618773403865706,0.02051642207836675,0.3198875,0.03364065388410279,0.3406377893366303,0.019024091427274955
LLF,LS8,green,0.4183392857142857,0.03871466443541696,0.44617087889959434,0.023699992130697824,0.39114464285714284,0.03527816463299145,0.4117920642195076,0.020727268248269506
LLF,LS8,red,0.5151196428571428,0.037869264863488176,0.5310723937759854,0.02545740994945339,0.4825339285714285,0.034737136759966446,0.4886956889847481,0.021524438007199113
LLF,LS8,nir,0.5188589285714286,0.0384438680638302,0.5236335593153011,0.023519067460006086,0.5019642857142856,0.03622060595736034,0.501237330137087,0.02166200542645598
LLF,LS8,swir1,0.14045714285714286,0.02504354676745843,0.13354409102812118,0.02665789860475987,0.1315839285714286,0.023842899338210544,0.12480367111010647,0.02437780920853357
LLF,LS8,swir2,0.0648375,0.012261446001011232,0.06393811019145987,0.013261250726604218,0.0589625,0.011113835690255636,0.05940672440061858,0.012035457739807725
NRB,LS8,CA,0.044519444444444445,0.006737532496085082,0.028132024840332205,0.006956109495625491,0.036927777777777775,0.007497392550862493,0.027021847773461415,0.006744528312757009
NRB,LS8,blue,0.042111111111111106,0.007427680129001614,0.03317951646596612,0.008916881329158905,0.04195,0.0077898616447562435,0.03187200411704371,0.008639667843894435
NRB,LS8,green,0.07506944444444445,0.006626789881669892,0.068341762598623,0.011934481713612503,0.07338888888888889,0.007263140496819761,0.06517655723159341,0.011580236191334425
NRB,LS8,red,0.06496666666666666,0.013230709227651656,0.05093784874872475,0.017884114736019703,0.06213888888888889,0.01423544632594164,0.0486893788386299,0.01719709341016127
NRB,LS8,nir,0.40559166666666663,0.04305079283693726,0.44542746364155694,0.04433685914467757,0.41475555555555554,0.04386969622545363,0.4325727916070165,0.04263290512112298
NRB,LS8,swir1,0.24431944444444442,0.012083018833710492,0.25655853778289955,0.027587676166696048,0.24356944444444442,0.013437878045213264,0.2501694997302486,0.027301389505305668
NRB,LS8,swir2,0.12984722222222222,0.014887139978128607,0.12315043628094582,0.02192310454785537,0.12719166666666668,0.017657063034378057,0.11957701327496974,0.021495364551631996
PIN,LS8,CA,0.17073673469387754,0.014659686410844763,0.1664070948064872,0.00979731041229236,0.15893265306122448,0.0140430444364069,0.1691834959589397,0.009860975767048126
PIN,LS8,blue,0.20351020408163265,0.01727435571199323,0.2079601573647065,0.011620758013831533,0.20421836734693877,0.017278967673592546,0.21142430545663818,0.011581197769310964
PIN,LS8,green,0.4009183673469388,0.01999130089864485,0.4101472812752129,0.017896201590982954,0.3943081632653061,0.019540056573923218,0.4181365938534881,0.015825687558891317
PIN,LS8,red,0.5216714285714286,0.02281904861276729,0.5205225009163875,0.02198124006952138,0.5114591836734694,0.022158961133529803,0.5305477967143459,0.01928682276757799
PIN,LS8,nir,0.6190632653061224,0.029899414326920823,0.6043416620579517,0.024553510472341406,0.6130367346938775,0.029773613121644605,0.6130078665343283,0.022825563387039553
PIN,LS8,swir1,0.6985183673469388,0.026104786279956386,0.6975868870660435,0.02824101568449696,0.6882510204081633,0.025186983376574264,0.7072306449922895,0.0258579439893658
PIN,LS8,swir2,0.5427795918367346,0.01457369701658992,0.5799805558178569,0.025833888638097154,0.523665306122449,0.01353979095820919,0.5897777429125938,0.022644054053896568
PIN,LS8,CA,0.17547142857142858,0.012572159069685262,0.18583113593597722,0.01298429629712015,0.16892142857142858,0.011970370876107582,0.1755867245714752,0.012316856871952412
PIN,LS8,blue,0.21185,0.01580920843776093,0.23335338660843824,0.016028407485648582,0.21536904761904763,0.015539787460936066,0.22048351820462808,0.015121138683494025
PIN,LS8,green,0.42345714285714287,0.024905030500236035,0.4592245667655741,0.02859858291481329,0.4095595238095238,0.024445206556353058,0.42958757373042916,0.025632553229335237
PIN,LS8,red,0.5515738095238095,0.03249935574104149,0.5768489688469345,0.03574209674466513,0.5301023809523809,0.0320656654241413,0.5397798788672292,0.03194999652476045
PIN,LS8,nir,0.6441309523809524,0.04151878225629157,0.6514237157921606,0.03965253800307816,0.6278119047619047,0.041252337321261205,0.6235834578204793,0.037071596525938465
PIN,LS8,swir1,0.7262857142857143,0.04231180501393689,0.7445861607838223,0.04451770974447885,0.700404761904762,0.04158051256229666,0.7105316995662834,0.04111308663009748
PIN,LS8,swir2,0.5861214285714286,0.029452702485060173,0.6093786466431373,0.04043999465014318,0.5596023809523809,0.028423803640235848,0.5735729583455784,0.0361319196836561
PIN,LS8,CA,0.1795453125,0.015184613199793527,0.18956468780553096,0.013643682337725541,0.172684375,0.014289804262458426,0.1790810348725958,0.012740667210775625
PIN,LS8,blue,0.216834375,0.019213595599454437,0.2387779018710674,0.01687271070698001,0.2199640625,0.018474986190687496,0.22556939400668244,0.015703256352265667
PIN,LS8,green,0.428428125,0.029667561561145788,0.4727804585732989,0.03000913920405069,0.41400625,0.028185678294791842,0.4422090120298344,0.026883072336457082
PIN,LS8,red,0.55740625,0.03834571307118307,0.5945288602328885,0.03685210703700811,0.53536875,0.03665194774411723,0.5562552097465924,0.0329689729915788
PIN,LS8,nir,0.652809375,0.0497601990762635,0.6718800472265599,0.040707462398802796,0.636321875,0.04895216564652043,0.6431068571689664,0.03798329565747925
PIN,LS8,swir1,0.7332453125,0.050586661191734564,0.7691059872244347,0.044976161647856436,0.706728125,0.04826802923762659,0.7338703109163465,0.04158212229039622
PIN,LS8,swir2,0.588559375,0.03477832352355954,0.6294517659197462,0.04002182215155394,0.5620359375,0.03318840802518394,0.5924299675024568,0.036075166606150545
WIN,LS8,CA,0.1767642857142857,0.008388479101282488,0.18798542479790084,0.012541235961377963,0.15838095238095237,0.008038752512057662,0.17946669065806545,0.01196099993857895
WIN,LS8,blue,0.19938571428571428,0.00820880976896951,0.2224546063499097,0.01404498534583256,0.19222857142857142,0.008267558104229007,0.21237329673713964,0.013385185761204522
WIN,LS8,green,0.3187357142857143,0.009593793167821515,0.34229228033318543,0.0172214980438888,0.29586190476190477,0.008137302477478476,0.32395852277905957,0.016165637441131205
WIN,LS8,red,0.4561642857142857,0.016659772213451225,0.48105282303431174,0.020117642915407907,0.4226761904761905,0.012307968954024973,0.45538991289366576,0.01909753135895452
WIN,LS8,nir,0.5166357142857143,0.019980810096411096,0.5339391133142479,0.023196642900468422,0.48500714285714286,0.015553630610570255,0.5129429113893278,0.022557658716732536
WIN,LS8,swir1,0.6601642857142856,0.019904137179761104,0.6869365816960286,0.02122329707520325,0.6158690476190476,0.015810477058180637,0.6549544518946071,0.020987980442633114
WIN,LS8,swir2,0.5779785714285715,0.022563039052674556,0.6034021427854968,0.01730844307541042,0.5271095238095238,0.014357622988102201,0.5760687471989863,0.016337203617112887
