BAND,BLA_ls8_dry_Diff,BLA_ls8_wet_Diff,BLA_s2a_dry_Diff,BLA_s2a_wet_Diff,BLA_s2b_dry_Diff,BLA_s2b_wet_Diff,DHA_ls8_wet_Diff,DHA_s2a_wet_Diff,DHA_s2b_wet_Diff,DOO_ls8_dry_Diff,DOO_ls8_wet_Diff,DOO_s2a_dry_Diff,DOO_s2a_wet_Diff,DOO_s2b_dry_Diff,DOO_s2b_wet_Diff,FOW_ls8_dry_Diff,FOW_ls8_wet_Diff,FOW_s2a_dry_Diff,FOW_s2a_wet_Diff,FOW_s2b_dry_Diff,FOW_s2b_wet_Diff,LGR_ls8_dry_Diff,LGR_ls8_wet_Diff,LGR_s2a_dry_Diff,LGR_s2a_wet_Diff,LGR_s2b_dry_Diff,LGR_s2b_wet_Diff,LIT_ls8_dry_Diff,LIT_ls8_wet_Diff,LIT_s2a_dry_Diff,LIT_s2a_wet_Diff,LIT_s2b_dry_Diff,LIT_s2b_wet_Diff,LKG_ls8_wet_Diff,LKG_s2a_wet_Diff,LKG_s2b_wet_Diff,LLF_ls8_dry_Diff,LLF_ls8_wet_Diff,LLF_s2a_dry_Diff,LLF_s2a_wet_Diff,LLF_s2b_dry_Diff,LLF_s2b_wet_Diff,NRB_ls8_wet_Diff,NRB_s2a_wet_Diff,NRB_s2b_wet_Diff,PIN_ls8_dry_Diff,PIN_ls8_wet_Diff,PIN_s2a_dry_Diff,PIN_s2a_wet_Diff,PIN_s2b_dry_Diff,PIN_s2b_wet_Diff,WIN_ls8_dry_Diff,WIN_ls8_wet_Diff,WIN_s2a_dry_Diff,WIN_s2a_wet_Diff,WIN_s2b_dry_Diff,WIN_s2b_wet_Diff
band1,0.006445567921706612,0.008205573012599554,0.010142865763045789,0.008606393196049,,0.005777926187095325,0.017173854405484648,,0.006943776274028317,0.008771503261759279,0.012507801869878427,0.013199770193784604,0.014740009722733365,0.011513356002067121,0.015396616424244803,0.00607310314166612,0.005986362541600186,0.0023279866287791305,0.0038612295178900584,0.004560856574903272,0.01095228026685016,0.006300006033331056,0.008047301192631298,0.007821318206906992,0.010373713516474061,0.007159997882862286,0.009840016589685608,0.009182642260398518,0.011565398303542154,0.015589223628724988,0.014697928563048373,0.02166150063357146,0.0182546109172456,0.021791930639819178,0.024425764376446658,0.026519576847704018,0.0581173328084476,0.12369732437812449,0.038834421887175834,0.056364445360547806,0.07410645571146396,0.09348704419823506,0.008942877487878441,0.009899899490883615,0.009112072693090872,0.01139825121269539,0.020032452736992553,0.01126406892934161,0.01990436344601797,0.005863846946880188,0.020555379763101962,0.006500596875144772,0.006747900312939725,0.004457728228581784,0.005013623047185154,,0.014258181539539195
band2,0.005229882373711394,0.007604101013115579,0.008400045066991482,0.007501475221936044,,0.005562327728607315,0.014422040776403331,,0.004952615101340002,0.007556462928543922,0.01474121154954465,0.011022675193798615,0.014541918287731258,0.0060078882936984695,0.013029821407476437,0.00571089615669349,0.005644790439566706,0.0026170541797899535,0.003755071921000926,0.004063427182543628,0.007899758771502487,0.005878368472256605,0.008073083103127878,0.005590087075130148,0.009234143958756654,0.005886086566961032,0.009085150791434566,0.0077734051615828215,0.010301543719197509,0.013632335450348138,0.012629144162366785,0.018231830266964472,0.015418889529225361,0.021862417864198017,0.02792783838020805,0.02771750002890386,0.05745749098879136,0.12140036065982297,0.04204400820264902,0.05726034566901837,0.07475003552067239,0.09244264823386943,0.008064932678158174,0.010469242796586817,0.006309328936543382,0.010572910937031952,0.02217238770479107,0.01079672750556608,0.02348328820619136,0.004378824113429265,0.024687846017241367,0.00671049861833908,0.007029230888649857,0.004936204993414991,0.0051399238258832535,,0.01618742372524787
band3,0.005003470224325737,0.007961771203853692,0.009165341808805162,0.007326132211990551,,0.005132391995807894,0.011719017423087926,,0.003367532728925453,0.029788884702380943,0.024421004818467446,0.009746974026161485,0.017846249350109582,0.01029629928141253,0.01886346443558951,0.003137338533458575,0.006813543164484886,0.004746294737578139,0.004821883017375121,0.003616218780583241,0.007930429125991477,0.0060965793690826485,0.009233430388327168,0.005500231527721297,0.01014507447647518,0.004791531773766288,0.009080853552925715,0.006509188257756991,0.008608219847339463,0.011203825272155176,0.010331271716061852,0.014621111893094786,0.012452874188590438,0.023098808858543148,0.032210092726812474,0.027906591940185046,0.054406753167034055,0.1197393118059783,0.04720914364355157,0.05943279372747816,0.0751152589249422,0.0921309607128061,0.00805476121932104,0.01091185181460904,0.005765836838897748,0.010921925541342456,0.028928113600330846,0.010071642345278183,0.02800136257870942,0.003517265358052834,0.027952841603925346,0.010827364825911552,0.011269658348101796,0.0067897710414659435,0.006052581790409713,,0.01931225393038769
band4,0.006623573521179955,0.012499359051996072,0.011828321016829386,0.009801468549120127,,0.006227833055522644,0.01061833599712672,,0.0024289445266388434,0.03500625284128479,0.03410852277026031,0.010593238979759905,0.02472758750981557,0.012515793104595368,0.029776226800853515,0.006357852158893297,0.011488111214560712,0.00786725290420149,0.007872781961981584,0.004095597684076329,0.009533368392710236,0.007033899076307492,0.012401296349974694,0.005516464158150372,0.014095563298862405,0.004341879245467836,0.010444941732091576,0.008360107784201203,0.009725757783646195,0.00986817782954967,0.008986995515629771,0.011880604978291544,0.010198451460019624,0.02520268379215155,0.03789283171961456,0.030482231657962343,0.053523566128002624,0.10812188480208638,0.053224390665350695,0.06325711012284944,0.07641923295402667,0.09593980394219156,0.011911470483209006,0.013933498809820465,0.008445266720617139,0.010632219245376998,0.027402804514828277,0.011289975138698545,0.029381326123884968,0.0096103977539906,0.02996643730612841,0.014671132334040092,0.01562785892055512,0.00848639673669862,0.0075625916414126205,,0.025963851029293647
band5,0.011236426732475307,0.013334682736171019,0.014856831234572458,0.012723859780315401,,0.006280401691034824,0.011042973582159032,,0.0013313462044297016,0.04010360407004671,0.05003112931064568,0.013980921747343783,0.027900463602275615,0.01324126625644519,0.02824922976256247,0.006033737373987248,0.012653344119361714,0.013676271699846863,0.01043206535709617,0.006838910934422347,0.01135915094096716,0.007810515886903303,0.0131862903576485,0.00598105207163764,0.01475754964172031,0.005944773600725077,0.01189008667228417,0.028067209821698254,0.024272731145406387,0.012149751570044378,0.011629446578112027,0.009835826465700505,0.008420731062899442,0.03419679793232257,0.042884158561133714,0.02935038437609379,0.10217985085738406,0.13603052205864544,0.05672877632157273,0.06779602179986657,0.07084777186948349,0.10165714072694379,0.023177807174287954,0.016457550369272916,0.009587516332355635,0.014859053094030156,0.02558785410919959,0.017101600551575988,0.03190540209496511,0.018244705285568,0.03286518312994449,0.017367702735353853,0.01759899476726366,0.008642111880291728,0.01129336460300149,,0.03359748929382614
band6,0.007460341230120889,0.02180366484236569,0.014883811727005024,0.012051085891630498,,0.007391202697122252,0.010747548072186761,,0.002039103564572139,0.027691321757369686,0.04937877260681683,0.014257061265708184,0.030219209906017886,0.011895980000671083,0.03710116890844605,0.007213702203966993,0.01481275778108899,0.01289156835326614,0.009460928010632115,0.0061960638369807025,0.01117139819040748,0.007725498745566356,0.01552995937910238,0.0060452639451109395,0.01587154644275059,0.005156109158902231,0.011324661591960985,0.02362897953907626,0.021057914420808982,0.019484439041599945,0.019883581997248306,0.007252140398299868,0.007821784700382913,0.02277318062554963,0.04276528465326841,0.030090949101477193,0.06257983860331813,0.07134688792386878,0.0637364385969276,0.080143977622643,0.0699277124133611,0.11797327491150451,0.027741074333261884,0.026460199509606926,0.014371007339441117,0.010208856802103131,0.03785539501738619,0.01584752550279921,0.030325222977951836,0.017926526466580373,0.03173881023592305,0.024562642751552715,0.02459492862724021,0.008707043151786631,0.009990669381061983,,0.03146582896902841
band7,0.006185489660590331,0.020313786568984596,0.015014484955007497,0.012048049387264677,,0.008097448494219601,0.00861790345969878,,0.0011290769949563076,0.022843009651196403,0.04236658863138508,0.014068191318110611,0.033610050846510676,0.01528811609607919,0.04076642849789159,0.008104890847425893,0.017423604032640375,0.01001033298468303,0.00803869791011995,0.0051421805464509016,0.010954039400682616,0.008612000681955573,0.016246602670313227,0.0067390085663878285,0.017761213392229986,0.004907950470860581,0.011006852179623574,0.008663635187749142,0.010770937461600544,0.0222060191742123,0.02258132800276896,0.005914732974456426,0.008676181190306666,0.01739487095765016,0.046642700472733445,0.03138219166558242,0.03160878064259573,0.03652048198523988,0.06590592411745877,0.07872188456987142,0.07862235476789083,0.11860063449315782,0.018459553905802673,0.03497173517135021,0.023305738441227523,0.006915120616206852,0.04191860129718181,0.013849248754922128,0.027172976746332518,0.012784788048474638,0.03334296906828973,0.027258965219793284,0.02872616078052018,0.00911791471973125,0.008955515426040303,,0.024462814187762166
band8,,,0.017593079081547825,0.016169663702725125,,0.008356774745141427,,,0.004774132924002038,,,0.019269574335677185,0.03574967475901347,0.012713132848292827,0.04178642534004178,,,0.015289066688190044,0.011723033537642326,0.007323179428863309,0.012843054314031356,,,0.006824910888292428,0.01853622246588909,0.0061091652967596105,0.012418607613532232,,,0.0268513034337963,0.02764856520353048,0.008767844345783024,0.010597049082888034,,0.04863941543627587,0.03142623174224791,,,0.0677704018373723,0.08332288448065824,0.07549223385041116,0.12728498658447598,,0.037070026722403324,0.024029515928523513,,,0.019374116902420722,0.03069491196355122,0.021780234129591364,0.03790519356215537,,,0.008415908799437337,0.014277053457727402,,0.03286874428531685
band8a,,,0.015873085216908073,0.013170977509564998,,0.00848725720023908,,,0.0025246146355573564,,,0.0154236268135061,0.0368480736896094,0.01558365114997193,0.04407742601060279,,,0.008926679834589255,0.007941501711138346,0.004609583118977434,0.012205141594365098,,,0.007161659376266411,0.019638542297542687,0.00513808819879084,0.011497633058326765,,,0.0264890828153843,0.026914437762593686,0.005634482718110508,0.009426021344756006,,0.05176056414162852,0.03190523046337169,,,0.07701135984104589,0.09221290150697271,0.08230976987230412,0.13574059730096558,,0.038759142632383045,0.026590308551308173,,,0.013807065536355956,0.027476937180875363,0.01242146415929224,0.033750097335352926,,,0.009801204776405432,0.009387215112258974,,0.02244951671788628
band11,,,0.014596099527193209,0.013662171991724271,,0.013880874528859864,,,0.0009344217884052942,,,0.02131073103395671,0.03415950937321002,0.01264557450134773,0.05365836018186649,,,0.00805466238497086,0.009659563052832273,0.0037688971073757674,0.015967313691108466,,,0.008250927046026263,0.022227824869740193,0.011861259169098928,0.01797573566736535,,,0.020373871304673098,0.020780928845672494,0.006905976152978981,0.006251128496982972,,0.06520322265313093,0.05594741352592526,,,0.04941054612834773,0.06189601218686586,0.03228740463505629,0.06758537460889191,,0.03006264024971992,0.032155800507637895,,,0.011468854444845515,0.05282818158626644,0.028065574250435127,0.08292985697176963,,,0.009215302793466967,0.008692545866720965,,0.027522237994517883
band12,,,0.014514121678698427,0.012524311216738455,,0.011245797664627967,,,0.0028667553898925275,,,0.019970037663455637,0.028994347382024808,0.0122991475766051,0.053677968622097526,,,0.01841379518717394,0.015224083350109795,0.0066321602376700475,0.018446326122685604,,,0.009701963478424204,0.0229665836599261,0.010997452579587258,0.021269431622805396,,,0.008010910962168485,0.008419791878370294,0.0063033642823273565,0.005557546473362114,,0.05108796143821409,0.06843573650590257,,,0.028771908922463268,0.03561773212213509,0.017133035963923196,0.03564076070524548,,0.02016240168451073,0.021549703559028032,,,0.011339096650850363,0.056168828249632534,0.03345683188293784,0.08164811089900834,,,0.010813559391766604,0.013825323038063983,,0.040238678193996284
